 ,Area,Mean,Min,Max,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
194,1.630,87.883,49.980,154.949,-75.174,0.366,7.483,1713.000,1218.000,104.826,0.000,0.000,0.000,NaN,7.483
195,1.675,74.732,46.346,112.000,-63.435,0.363,7.612,1729.000,1352.000,116.565,0.000,0.000,0.000,NaN,7.612
196,1.901,48.122,22.441,85.943,-17.103,0.317,8.682,1603.000,1408.000,162.897,0.000,0.000,0.000,NaN,8.682
197,1.268,98.519,66.813,139.000,-53.973,0.475,5.788,1709.000,1384.000,126.027,0.000,0.000,0.000,NaN,5.788
198,1.313,96.918,63.867,150.000,-122.005,0.455,6.022,1799.000,1429.000,57.995,0.000,0.000,0.000,NaN,6.022
199,1.086,54.164,20.149,93.854,-43.264,0.553,4.967,1445.000,1354.000,136.736,4.441E-16,0.000,0.000,NaN,4.967
200,1.494,34.671,2.555,81.750,-48.814,0.408,6.785,1533.000,1398.000,131.186,0.000,0.000,0.000,NaN,6.785
201,1.268,61.116,29.099,104.000,-128.991,0.482,5.749,1766.000,1564.000,51.009,4.441E-16,0.000,0.000,NaN,5.749
202,1.630,92.134,61.640,152.000,-36.870,0.369,7.447,1804.000,1564.000,143.130,0.000,0.000,0.000,NaN,7.447
203,1.358,112.928,91.270,154.000,-126.469,0.461,6.085,1933.000,1518.000,53.531,0.000,0.000,0.000,NaN,6.085
204,1.720,86.439,18.435,155.000,-49.399,0.351,7.846,1846.000,1442.000,130.601,4.441E-16,0.000,0.000,NaN,7.846
205,1.630,107.301,70.229,148.245,-64.885,0.362,7.519,1844.000,1392.000,115.115,0.000,0.000,0.000,NaN,7.519
206,1.720,48.115,5.923,111.000,-72.553,0.355,7.806,1933.000,1546.000,107.447,0.000,0.000,0.000,NaN,7.806
207,1.313,60.050,17.286,119.000,-122.005,0.455,6.022,1955.000,1586.000,57.995,0.000,0.000,0.000,NaN,6.022
208,1.268,60.027,31.667,90.263,-38.991,0.482,5.749,1978.000,1781.000,141.009,4.441E-16,0.000,0.000,NaN,5.749
209,1.268,60.027,31.667,90.263,-38.991,0.482,5.749,1978.000,1781.000,141.009,4.441E-16,0.000,0.000,NaN,5.749
210,1.268,43.088,9.222,91.000,-17.103,0.475,5.788,1000.000,1016.000,162.897,0.000,0.000,0.000,NaN,5.788
211,1.766,11.125,0.000,71.000,25.201,0.347,7.995,900.000,1074.000,25.201,0.000,0.000,0.000,NaN,7.995
212,1.766,25.963,0.100,74.000,-61.390,0.347,7.998,812.000,1094.000,118.610,4.441E-16,0.000,0.000,NaN,7.998
213,1.720,30.987,1.652,66.000,-74.476,0.342,7.950,1000.000,1042.000,105.524,0.000,0.000,0.000,NaN,7.950
214,1.584,58.187,14.018,109.000,-47.386,0.381,7.228,823.000,1253.000,132.614,0.000,0.000,0.000,NaN,7.228
215,1.313,54.430,25.000,76.000,-49.399,0.476,5.885,909.000,916.000,130.601,0.000,0.000,0.000,NaN,5.885
216,1.449,35.557,2.729,71.366,-63.435,0.410,6.661,964.000,938.000,116.565,0.000,0.000,0.000,NaN,6.661
217,1.720,35.030,5.411,89.000,-55.886,0.341,7.967,718.000,633.000,124.114,4.441E-16,0.000,0.000,NaN,7.967
218,1.313,55.705,28.480,85.735,-46.469,0.479,5.869,756.000,737.000,133.531,0.000,0.000,0.000,NaN,5.869
219,1.449,11.996,0.406,56.000,-38.367,0.429,6.513,683.000,757.000,141.633,0.000,0.000,0.000,NaN,6.513
220,1.449,41.030,11.231,82.591,-129.806,0.412,6.647,801.000,839.000,50.194,4.441E-16,0.000,0.000,NaN,6.647
221,1.630,33.141,3.118,97.000,-42.709,0.361,7.528,555.000,933.000,137.291,0.000,0.000,0.000,NaN,7.528
222,1.630,17.597,2.274E-13,60.265,-45.000,0.362,7.522,620.000,1017.000,135.000,0.000,0.000,0.000,NaN,7.522
223,1.766,57.991,29.507,92.000,-49.236,0.334,8.146,690.000,1016.000,130.764,0.000,0.000,0.000,NaN,8.146
224,2.218,34.740,0.000,137.500,-7.125,0.263,10.292,590.000,505.000,172.875,0.000,0.000,0.000,NaN,10.292
225,1.313,15.103,0.000,45.000,0.000,0.465,5.957,289.000,497.000,0.000,0.000,0.000,0.000,NaN,5.957
226,1.358,37.127,15.918,64.488,-33.690,0.453,6.137,413.000,525.000,146.310,0.000,0.000,0.000,NaN,6.137
227,1.494,46.030,20.281,103.125,21.801,0.397,6.875,713.000,373.000,21.801,4.441E-16,0.000,0.000,NaN,6.875
